m49,area,item_code,item,year,usd_tonne
8,Albania,372,Lettuce and chicory,2024,1104.4
8,Albania,388,Tomatoes,2024,894.5
8,Albania,397,Cucumbers and gherkins,2024,826.2
8,Albania,399,Eggplants (aubergines),2024,1177.6
8,Albania,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,946.1
8,Albania,430,Okra,2013,700.3
8,Albania,568,Cantaloupes and other melons,2024,672.9
12,Algeria,372,Lettuce and chicory,2021,476.0
12,Algeria,388,Tomatoes,2021,477.9
12,Algeria,397,Cucumbers and gherkins,2001,181.3
12,Algeria,399,Eggplants (aubergines),2001,129.5
12,Algeria,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,615.9
12,Algeria,568,Cantaloupes and other melons,2021,787.5
24,Angola,388,Tomatoes,2014,274.7
28,Antigua and Barbuda,388,Tomatoes,2023,2852.9
28,Antigua and Barbuda,397,Cucumbers and gherkins,2024,2522.7
28,Antigua and Barbuda,399,Eggplants (aubergines),2024,3198.1
28,Antigua and Barbuda,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,4891.1
28,Antigua and Barbuda,568,Cantaloupes and other melons,2024,2424.8
31,Azerbaijan,388,Tomatoes,2023,894.1
31,Azerbaijan,397,Cucumbers and gherkins,2023,705.9
31,Azerbaijan,399,Eggplants (aubergines),2023,470.6
31,Azerbaijan,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,470.6
31,Azerbaijan,568,Cantaloupes and other melons,2023,264.7
32,Argentina,388,Tomatoes,2017,1003.7
32,Argentina,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,1019.0
32,Argentina,544,Strawberries,2003,1192.8
32,Argentina,568,Cantaloupes and other melons,2017,1434.6
36,Australia,372,Lettuce and chicory,2024,990.6
36,Australia,388,Tomatoes,2024,904.7
36,Australia,397,Cucumbers and gherkins,2024,1197.3
36,Australia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1961.6
36,Australia,544,Strawberries,2024,4147.9
36,Australia,568,Cantaloupes and other melons,2024,1059.6
40,Austria,372,Lettuce and chicory,2018,799.5
40,Austria,388,Tomatoes,2018,995.5
40,Austria,397,Cucumbers and gherkins,2018,655.4
40,Austria,399,Eggplants (aubergines),2018,1416.0
40,Austria,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2018,1365.2
40,Austria,544,Strawberries,2024,7650.6
48,Bahrain,372,Lettuce and chicory,2024,1595.7
48,Bahrain,388,Tomatoes,2024,1595.7
48,Bahrain,397,Cucumbers and gherkins,2024,1595.7
48,Bahrain,399,Eggplants (aubergines),2024,1595.7
48,Bahrain,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,2127.7
48,Bahrain,430,Okra,2024,2127.7
48,Bahrain,568,Cantaloupes and other melons,2024,1861.7
50,Bangladesh,388,Tomatoes,2021,490.9
50,Bangladesh,397,Cucumbers and gherkins,2021,304.1
50,Bangladesh,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,905.7
51,Armenia,388,Tomatoes,2024,529.9
51,Armenia,397,Cucumbers and gherkins,2024,652.9
51,Armenia,399,Eggplants (aubergines),2024,381.7
51,Armenia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,681.1
51,Armenia,544,Strawberries,2024,2529.2
52,Barbados,372,Lettuce and chicory,2021,2713.0
52,Barbados,388,Tomatoes,2021,2941.5
52,Barbados,397,Cucumbers and gherkins,2021,1292.0
52,Barbados,399,Eggplants (aubergines),2018,1610.0
52,Barbados,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,3900.1
52,Barbados,430,Okra,2021,2409.5
52,Barbados,568,Cantaloupes and other melons,2021,1704.9
56,Belgium,372,Lettuce and chicory,2024,297.8
56,Belgium,388,Tomatoes,2024,1007.4
56,Belgium,397,Cucumbers and gherkins,2024,475.3
56,Belgium,399,Eggplants (aubergines),2024,1209.6
56,Belgium,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1578.0
56,Belgium,544,Strawberries,2024,5268.6
58,Belgium-Luxembourg,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1999,1413.2
64,Bhutan,388,Tomatoes,2024,1053.8
64,Bhutan,399,Eggplants (aubergines),2017,506.7
64,Bhutan,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1818.0
68,Bolivia (Plurinational State of),372,Lettuce and chicory,2024,442.0
68,Bolivia (Plurinational State of),388,Tomatoes,2024,265.2
68,Bolivia (Plurinational State of),397,Cucumbers and gherkins,2024,216.9
68,Bolivia (Plurinational State of),401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,1332.0
68,Bolivia (Plurinational State of),544,Strawberries,2013,2409.5
70,Bosnia and Herzegovina,372,Lettuce and chicory,2024,1081.6
70,Bosnia and Herzegovina,388,Tomatoes,2024,947.7
70,Bosnia and Herzegovina,397,Cucumbers and gherkins,2024,494.0
70,Bosnia and Herzegovina,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1001.9
70,Bosnia and Herzegovina,544,Strawberries,2024,2305.9
76,Brazil,388,Tomatoes,2024,417.6
76,Brazil,568,Cantaloupes and other melons,2024,315.2
84,Belize,388,Tomatoes,2024,826.7
84,Belize,397,Cucumbers and gherkins,2024,551.1
84,Belize,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1653.5
84,Belize,430,Okra,2024,826.7
